CUST_ID,FIRST_NAME,LAST_NAME,STATE,BDAY_MONTH
C1,John,Smith,CA,Aug
C2,Sean,Zhao,WA,May
C3,Abraham,Wald,CA,Sep
C4,Xiao,Li,WA,Nov
C5,Shirley,Li,CA,Jul
C6,Olu,Achebe,OR,Nov
C7,Bob,Smith,OR,Mar
C8,Abubakar,Adebambo,WA,Aug
C9,Caroline,Shaw,CA,Jul
C10,Erika,Cashman,WA,Dec
C11,Jack,Dougherty,CA,Sep
C12,Wendy,O'Connell,CA,Feb
C13,John,Aghdashloo,CA,Apr
C14,Archie,West,NY,Jun
C15,Jessica,Pearson,IL,Apr
C16,Harvey,Specter,NY,Jan
C17,Louis,Litt,NY,Jun
C18,Mary,Nowak,ID,Sep
C19,Emiliano,Sanchez,CA,Dec
C20,Aurelien,Bordeaux,CA,Oct
C21,Brady,Carter,CA,Feb
C22,Anna,Schmidt,CA,Dec
C23,Emma,Chang,WA,Sep
C24,Bolin,Zhao,CA,Sep
C25,Harper,Kelly,ID,Jul
C26,Bertha,Smith,WY,Dec
C27,Catherine,Parisi,NY,Dec
C28,Robert,Zane,NY,Sep
C29,Sage,Zapata,CA,Dec
C30,Angel,Escobar,AZ,Oct
C31,Tamara,Ichinose,AZ,June
C32,Annabel,Kim,NM,Jan
C33,Imogen,Park,CA,Aug
C34,Letitia,Juarez,CA,Sep
